#   1 X                Object position along x                                    [pixel]
#   2 Y                Object position along y                                    [pixel]
#   3 MAG              Object magnitude                                           [AB]
#   4 TYPE             Object type                                                [0=star, others=FITS]
#   5 ORIENTATION      Objects orientation                                        [deg]
2222.856924 1792.450062 18.927000 0 0.000000 
1890.489213 2316.024408 20.983000 0 0.000000 
1923.584568 2333.691019 21.417999 0 0.000000 
1977.374095 2351.698385 19.806000 0 0.000000 
1741.659471 2106.471287 21.115000 0 0.000000 
1888.319717 2315.893473 21.058001 0 0.000000 
2307.834317 1875.364326 22.184999 0 0.000000 
1886.494454 2314.974756 21.080999 0 0.000000 
2154.542518 2341.382393 23.488001 0 0.000000 
1751.697190 2154.782247 22.500999 0 0.000000 
1971.506875 1741.943975 20.981001 0 0.000000 
2128.370793 2353.143310 21.903999 0 0.000000 
1990.870996 1736.087198 21.544001 0 0.000000 
1790.848466 1858.663757 21.965000 0 0.000000 
1762.540761 1899.869853 20.049999 0 0.000000 
2363.328522 2111.751934 20.389999 0 0.000000 
2365.360138 2113.406823 20.677000 0 0.000000 
2235.745958 2314.323011 19.261999 0 0.000000 
1787.988484 2245.203220 21.759001 0 0.000000 
2370.909633 2100.936263 21.326000 0 0.000000 
1737.403855 2154.812947 21.431000 0 0.000000 
1884.810217 2333.749250 22.030001 0 0.000000 
2041.280814 1716.891215 21.893999 0 0.000000 
2376.660112 2003.364789 21.108999 0 0.000000 
2260.584643 1792.641339 21.413000 0 0.000000 
1914.461913 2353.805580 19.415001 0 0.000000 
2343.804902 2206.509649 21.573000 0 0.000000 
2343.770054 2207.848778 21.562000 0 0.000000 
2308.844482 1833.903779 14.578000 0 0.000000 
2129.835646 1719.993018 21.304001 0 0.000000 
2234.778743 2330.051154 20.997999 0 0.000000 
2063.047453 2387.275051 21.701000 0 0.000000 
2234.881738 2331.679147 21.082001 0 0.000000 
2295.053144 2282.328159 21.976000 0 0.000000 
1894.661849 2353.362112 20.865000 0 0.000000 
1894.799624 2353.572151 20.900999 0 0.000000 
2207.325594 1745.314940 19.686001 0 0.000000 
1939.322501 1722.726427 21.261000 0 0.000000 
1788.702874 1822.691354 21.796000 0 0.000000 
1704.123341 2029.365092 22.580000 0 0.000000 
1839.077430 2322.230866 21.802000 0 0.000000 
2254.352839 1771.450087 16.167000 0 0.000000 
2146.306541 1716.160918 17.308001 0 0.000000 
2310.414176 2274.927514 19.334999 0 0.000000 
2077.082398 1699.351519 22.209999 0 0.000000 
1741.039796 2217.016150 21.948000 0 0.000000 
2033.675758 2398.382024 21.504999 0 0.000000 
2104.717496 1701.138250 21.990999 0 0.000000 
2360.163750 1883.598279 19.035000 0 0.000000 
2074.238029 2400.089018 20.944000 0 0.000000 
1775.460698 2273.381089 15.901000 0 0.000000 
1693.731363 2059.092456 20.146999 0 0.000000 
2389.319225 2151.829834 20.698000 0 0.000000 
2180.419277 1715.823592 16.058001 0 0.000000 
1693.883779 2099.450395 18.159000 0 0.000000 
2346.547848 2246.579646 22.104000 0 0.000000 
2407.332987 2056.468541 21.070000 0 0.000000 
1994.934216 1687.168978 21.575001 0 0.000000 
2407.932846 2111.163430 20.826000 0 0.000000 
2170.755106 2392.271612 20.358999 0 0.000000 
2306.961445 1789.055225 22.004000 0 0.000000 
1854.560714 1735.421960 21.540001 0 0.000000 
1883.225864 1719.215744 21.488001 0 0.000000 
1687.703733 1966.457700 16.660000 0 0.000000 
2347.295199 1830.527558 19.511000 0 0.000000 
2079.150556 1677.794055 19.700001 0 0.000000 
2058.716625 1675.640490 19.968000 0 0.000000 
1677.484609 2089.084711 21.985001 0 0.000000 
2244.782530 1730.407416 22.108000 0 0.000000 
2320.804451 2310.246895 21.211000 0 0.000000 
2298.999917 2334.923227 21.797001 0 0.000000 
1675.921484 1964.151443 19.047001 0 0.000000 
2349.367488 1814.012137 23.167000 0 0.000000 
2302.592703 1762.192507 18.218000 0 0.000000 
2198.748244 2400.257862 23.554001 0 0.000000 
1970.605463 1671.993680 19.322001 0 0.000000 
2237.894446 1713.601161 21.474001 0 0.000000 
1720.354920 1846.002400 22.184000 0 0.000000 
1906.411282 1689.934837 18.604000 0 0.000000 
2265.280671 2366.109217 19.707001 0 0.000000 
1976.518754 2427.162918 18.636000 0 0.000000 
1788.273413 1762.430176 19.200001 0 0.000000 
1663.984517 2006.562155 16.927999 0 0.000000 
2248.299961 1716.544093 21.819000 0 0.000000 
2349.564554 2291.559917 21.072001 0 0.000000 
1659.283210 2051.648387 18.778999 0 0.000000 
1690.261406 1895.561125 20.846001 0 0.000000 
2249.127853 2381.230156 19.023001 0 0.000000 
2427.113204 1945.484962 22.198000 0 0.000000 
1669.970251 2163.764328 14.520000 0 0.000000 
